0:lycée, musée, trophée (moins fréquents - coryphée, caducée, gynécée, l’élysée:un
0:fin:une
0:dent, gent:une
0:consonne + in	coussin, cristallin, satin:un
0:-ée	journée, levée, cuillerée, maisonnée, dictée, veillée, panacée:une
0:-ure	peinture, l’ouverture, confiture, couture:une
0:-ude	l’habitude, quiétude, mansuétude:une
0:-tié	l’amitié, moitié, pitié:une
0:-tion, -sion	station, émission, condition, solution, décision:une
0:-ou	clou, trou, cou:un
0:-ot	complot, matelot, trot:un
0:-oir	abattoir, lavoir, rasoir, soir, loir:un
0:-ment	mouvement, complément, parlement, classement, développement:un
0:-isme	tourisme, l’impressionnisme, socialisme:un
0:-ie	psychologie, furie, partie:une
0:-ette	l’assiette, raquette:une
0:-et	paquet, billet:un
0:-esse	paresse, jeunesse:une
0:-ent	l’accident, talent:un
0:-ence, -ance	conséquence, l’importance:une
0:-au, -eau	bureau, noyau, maquereau, château:un
0:-ard	retard, pétard:un
0:-al	métal, canal:un
0:-aison	maison, salaison, saison, cette raison:une
0:-age	voyage, ramassage (en général dérivés verbaux), ménage:un
0:-ade	promenade, salade, rasade:une
0: nage, page, image, plage, cage, rage:une
