5:-age	voyage, ramassage (en général dérivés verbaux), ménage:un
5: nage, page, image, plage, cage, rage:une
5:-al	métal, canal:un
5:-ard	retard, pétard:un
5:-au, -eau	bureau, noyau, maquereau, château:un
5:-et	paquet, billet:un
5 :-ent	l’accident, talent:un
5:dent, gent:une
5 :consonne + in	coussin, cristallin, satin:un
5:fin:une
5:-ou	clou, trou, cou:un
5:-isme	tourisme, l’impressionnisme, socialisme:un
5:-ment	mouvement, complément, parlement, classement, développement:un
5:-oir	abattoir, lavoir, rasoir, soir, loir:un
5:-ot	complot, matelot, trot:un
5:-ade	promenade, salade, rasade:une
5:-aison	maison, salaison, saison, cette raison:une
5:-ée	journée, levée, cuillerée, maisonnée, dictée, veillée, panacée:une
5:-ence, -ance	conséquence, l’importance:une
5:-esse	paresse, jeunes:une
5:-ette	l’assiette, raquet:une
5:-ie	psychologie, furie, part:une
5:-tié	l’amitié, moitié, pitié:une
5:-tion, -sion	station, émission, condition, solution, décision:une
5:-ude	l’habitude, quiétude, mansuétude:une
5:-ure	peinture, l’ouverture, confiture, couture:une
5:lycée, musée, trophée (moins fréquents - coryphée, caducée, gynécée, l’élysée:un
